IncidentYear,IncidentMonth,IncidentDateRange,IncidentDateStart,IncidentDateEnd,What,Where,EventCategory,EventCategory2,ApparentGoal1,ApparentGoal2,TargetType,TargetType2,For discussion,Note
2022,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2023,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2024,Does not apply,Yes,January,December,Ongoing attempt to map offshore comms/energy infrastructure in North Sea / Baltic,North Sea; Baltic Sea,Sabotage (preparation),Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,Ongoing for years.
2023,October,No,DNA,DNA,Gas & telecom cables Finland - Estonia damaged / NewNew Polar Bear incident,Baltic Sea,Sabotage,Does not apply,Degrade energy supply / communications infrastructure,Does not apply,Energy / communications infrastructure,Does not apply,No,
2024,January,Yes,Jan-24,Unknown,Sending illegal immigrants towards Finland,Finland,Disruptive immigration,Does not apply,Disrupt daily life,Does not apply,Border,Does not apply,No,
2024,April,No,DNA,DNA,Two Russian spies arrested for spionage US bases & planning sabotage military transport routes,Germany,Sabotage (preparation),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Arms deliveries to Ukraine,Military / weapons production infrastructure,No,
2024,May,No,DNA,DNA,"Shopping mall fire in Warsaw, Poland",Poland,Sabotage,Does not apply,Disrupt daily life,Inflict economic damage,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,January,No,DNA,DNA,"Arson attempt on paint factory / fuel depot Wroclaw, Poland",Poland,Sabotage,Does not apply,Inflict economic damage,Does not apply,Energy / communications infrastructure,Does not apply,No,
2024,May,No,DNA,DNA,Arson attack IKEA Vilnius,Lithuania,Sabotage,Does not apply,Disrupt daily life,Inflict economic damage,Shopping center / Public Space / Memorial / Landmark,Does not apply,No,
2024,April,No,DNA,DNA,Pole Pawel K. arrested for involvement in plot to assassinate Zelensky.,Poland,Assassination (plot),Does not apply,Kill politician / head of state / opposition member,Does not apply,Politician(s),Does not apply,No,
2024,March,No,DNA,DNA,Assassination attempt on Leonid Volkov,Lithuania,Assassination (attempt),Does not apply,Kill politician / head of state / opposition member,Does not apply,Politician(s),Does not apply,No,
2024,May,No,DNA,DNA,Arson Berlin metal factory used for weapons production / Diehl Metall,Germany,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2023,Unknown,Yes,Dec-22,May-23,Explosives cache found near NATO pipeline in Germany,Germany,Sabotage (preparation),Does not apply,Degrade military infrastructure,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,July,No,DNA,DNA,"Incendiary device placed on plane, ignites in DHL warehouse UK",United Kingdom,Sabotage,Terrorism,Disrupt daily life,Inflict economic damage,Civil aviation,Transport infrastructure,No,
2024,July,No,DNA,DNA,"Incendiary device about to be loaded on plane, ignites in DHL warehouse Germany",Germany,Sabotage,Terrorism,Disrupt daily life,Inflict economic damage,Civil aviation,Transport infrastructure,No,
2024,March,No,DNA,DNA,Arson attack on Ukraine-linked business in East London,United Kingdom,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Transport infrastructure,Does not apply,No,
2024,Unknown,No,DNA,DNA,Thwarted plot to kill Rheinmetall CEO Armin Papperger,Germany,Assassination (plot),Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Industrialist(s),Does not apply,No,
2024,November,No,DNA,DNA,Russian GPS jamming of Finish airports,Finland,Sabotage,Does not apply,Disrupt (civil) aviation,Does not apply,Civil aviation,Does not apply,No,
2024,February,No,DNA,DNA,Russians kill defected pilot in Spain,Spain,Assassination,Does not apply,Dissuade defection,Does not apply,Defector(s),Does not apply,No,
2024,March,No,DNA,DNA,"Arson attack on Ukraine-linked business in Fuenlabrada, outskirts Madrid, linked to London attack",Spain,Sabotage,Does not apply,Disrupt (military) aid to Ukraine,Does not apply,Transport infrastructure,Does not apply,No,"No official allegations of Russian involvement, but included because it fits pattern with earlier arson attack against premises of the same Ukrainian business in London"
2024,June,No,DNA,DNA,Arson attempt on buses in Prague,Czechia,Sabotage (attempt),Does not apply,Disrupt daily life,Does not apply,Transport infrastructure,Does not apply,No,
2024,October,No,DNA,DNA,Intrusion into Swedish water treatment plant,Sweden,Sabotage (preparation),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2024,August,No,DNA,DNA,Hole cut in fence around water treatment plant near Cologne,Germany,Sabotage (preparation),Does not apply,Compromise public utilities,Disrupt daily life,Public services,Does not apply,No,
2022,May,No,DNA,DNA,"Spionage of Lielvarde military airfield, near Rembate, Latvia",Latvia,Sabotage (preparation),Does not apply,Degrade military infrastructure,Does not apply,Military / weapons production infrastructure,Does not apply,No,
2024,Unknown,No,DNA,DNA,Descecration of memorial sites in Estonia,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Memorial sites / Landmarks,Does not apply,No,
2023,December,No,DNA,DNA,Vandalizing car of Estonian interior minister,Estonia,Vandalism,Does not apply,Disrupt daily life,Does not apply,Politician(s),Does not apply,No,
